2019.11.24 13:58:15 INFO  web[][DbMigrations] #3002 'Make index on DEPRECATED_RULE_KEYS.RULE_ID non unique'...
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3002 'Make index on DEPRECATED_RULE_KEYS.RULE_ID non unique': success | time=5ms
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3003 'Populate ProjectQualityGate table from Properties table'...
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3003 'Populate ProjectQualityGate table from Properties table': success | time=7ms
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3004 'Rename ANALYSIS_PROPERTIES.SNAPSHOT_UUID to ANALYSIS_UUID'...
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3004 'Rename ANALYSIS_PROPERTIES.SNAPSHOT_UUID to ANALYSIS_UUID': success | time=6ms
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3005 'Remove default quality gate property from Properties table'...
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3005 'Remove default quality gate property from Properties table': success | time=4ms
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3006 'Create NEW_CODE_PERIOD table'...
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3006 'Create NEW_CODE_PERIOD table': success | time=8ms
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table'...
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table': success | time=6ms
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3008 'Remove leak period properties'...
2019.11.24 13:58:15 INFO  web[][DbMigrations] #3008 'Remove leak period properties': success | time=3ms
2019.11.24 13:58:15 INFO  web[][DbMigrations] Executed DB migrations: success | time=258ms
2019.11.24 13:58:15 INFO  web[][o.s.s.p.Platform] Database has been automatically updated
2019.11.24 13:58:15 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@307a335c [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/properties*, ...]}]
2019.11.24 13:58:15 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2019.11.24 13:58:17 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2019.11.24 13:58:17 INFO  web[][o.s.s.e.IndexCreator] Create index [metadatas]
2019.11.24 13:58:18 INFO  web[][o.s.s.e.IndexCreator] Create type metadatas/metadata
2019.11.24 13:58:18 INFO  web[][o.s.s.e.IndexCreator] Create index [components]
2019.11.24 13:58:19 INFO  web[][o.s.s.e.IndexCreator] Create type components/auth
2019.11.24 13:58:20 INFO  web[][o.s.s.e.IndexCreator] Create index [projectmeasures]
2019.11.24 13:58:21 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/auth
2019.11.24 13:58:21 INFO  web[][o.s.s.e.IndexCreator] Create index [rules]
2019.11.24 13:58:22 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2019.11.24 13:58:22 INFO  web[][o.s.s.e.IndexCreator] Create index [issues]
2019.11.24 13:58:23 INFO  web[][o.s.s.e.IndexCreator] Create type issues/auth
2019.11.24 13:58:23 INFO  web[][o.s.s.e.IndexCreator] Create index [users]
2019.11.24 13:58:24 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2019.11.24 13:58:24 INFO  web[][o.s.s.e.IndexCreator] Create index [views]
2019.11.24 13:58:25 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2019.11.24 13:58:25 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AW6dtLQ_LCpBc9rm-8ey
2019.11.24 13:58:25 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2019.11.24 13:58:25 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2019.11.24 13:58:25 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2019.11.24 13:58:25 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2019.11.24 13:58:25 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2019.11.24 13:58:25 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2019.11.24 13:58:25 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2019.11.24 13:58:26 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2019.11.24 13:58:26 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2019.11.24 13:58:26 INFO  web[][o.s.s.r.RegisterRules] Register rules
2019.11.24 13:58:46 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2019.11.24 13:58:47 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2019.11.24 13:58:47 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile css/Sonar way
2019.11.24 13:58:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile scala/Sonar way
2019.11.24 13:58:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile jsp/Sonar way
2019.11.24 13:58:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile kotlin/Sonar way
2019.11.24 13:58:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile go/Sonar way
2019.11.24 13:58:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way Recommended
2019.11.24 13:58:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2019.11.24 13:58:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2019.11.24 13:58:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ruby/Sonar way
2019.11.24 13:58:51 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2019.11.24 13:58:51 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
2019.11.24 13:58:52 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile web/Sonar way
2019.11.24 13:58:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2019.11.24 13:58:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2019.11.24 13:58:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2019.11.24 13:58:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2019.11.24 13:58:54 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2019.11.24 13:58:54 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile vbnet/Sonar way
2019.11.24 13:58:54 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way
2019.11.24 13:58:55 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way recommended
2019.11.24 13:58:55 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2019.11.24 13:58:55 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2019.11.24 13:58:55 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@720b1a09 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2019.11.24 13:58:55 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.DeprecatedPropertiesWsFilter@86dd2ec [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2019.11.24 13:58:55 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@22221f14 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2019.11.24 13:58:55 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@55eee8f6 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2019.11.24 13:58:55 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@5072fc73 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2019.11.24 13:58:55 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@44e99e32 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2019.11.24 13:58:55 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@353f8633 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2019.11.24 13:58:55 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@48a2858d [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2019.11.24 13:58:55 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/rule/activeRule] ...
2019.11.24 13:58:57 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/rule/activeRule] done | time=2178ms
2019.11.24 13:58:57 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/rule/ruleExtension] ...
2019.11.24 13:59:02 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/rule/ruleExtension] done | time=5194ms
2019.11.24 13:59:02 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] ...
